name,team,pos,targets,receptions,yards,rec_touchdowns,avg_cushion,avg_separation,avg_intended_air_yards,avg_yac,avg_expected_yac,avg_yac_above_expectation,catch_percentage,percent_share_of_intended_air_yards,catch_pct,ypr,ypt,td_rate,yac_oe,name_last,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_epa,air_yards_total,s_sep,s_yac_oe,s_ypt,s_catch,s_air,s_cushion,s_drop,s_btk,composite,rank
Dallas Goedert,PHI,TE,143,102,987.0,16,6.221888909827964,3.5528991871170477,7.043188646042304,4.281309964726632,4.279427878561609,0.0018820861650231053,67.85591102664273,22.096428321961795,71.32867132867133,9.676470588235293,6.9020979020979025,11.188811188811188,0.0018820861650231053,GOEDERT,,,,,,,57.732153529600815,20.864731786799556,34.05333044348542,70.85155647028556,21.03138138560179,54.977797408928375,50.0,50.0,44.27678933707048,54
Ladd McConkey,LAC,WR,203,126,1514.0,12,5.422310514497061,3.197517119298586,10.100849463055663,5.134947639661925,3.7934313163194107,1.341516323342514,61.329525520900184,29.09587190681112,62.06896551724138,12.015873015873016,7.458128078817734,5.911330049261084,1.341516323342514,MCCONKEY,,,,,,,45.65963230532118,45.41096064272997,40.69832188997311,48.36812363049244,40.501104077247994,32.40125393449207,50.0,50.0,44.2539071008062,55
Rashee Rice,KC,WR,156,106,1142.0,10,6.382605523017287,3.576297414822762,4.611614407197741,8.143695634088717,7.752233368231476,0.39146226585724186,67.63643763643763,14.88175333152022,67.94871794871796,10.773584905660377,7.32051282051282,6.41025641025641,0.39146226585724186,RICE,,,,,,,58.52700399102607,28.003041620241582,39.05371292335741,62.64471314638539,5.548278789318141,59.515720927023565,50.0,50.0,44.234443570296634,56
DeVonta Smith,PHI,WR,215,144,1869.0,8,6.303323784206239,2.8952026036012306,12.200607683070546,3.9806473407544836,4.174116029531223,-0.19346868877673987,63.66930776064783,38.27974450027421,66.97674418604652,12.979166666666666,8.693023255813953,3.7209302325581395,-0.19346868877673987,SMITH,,,,,,,35.38984455387926,17.28530339072718,55.45627610184224,60.28466982966477,53.87136085514873,57.27715666184506,50.0,50.0,44.02187752377956,57
Ricky Pearsall,SF,WR,97,67,1036.0,0,6.651617310560588,2.195684045752841,14.462381862522024,2.252920634920635,2.899679848747258,-0.6467592138266234,70.38223007899558,37.29754390811918,69.0721649484536,15.462686567164178,10.68041237113402,0.0,-0.6467592138266234,PEARSALL,,,,,,,11.626820470412943,8.979623633286703,79.20711593944121,65.37254766748265,68.27325782816199,67.11141930015646,50.0,50.0,43.749970672000096,58
Rome Odunze,CHI,WR,177,88,1322.0,12,6.494114884842826,3.0032287816243417,14.283750541125542,5.808200757575757,4.555405185674716,1.252795571901041,47.94853294853294,40.12943493975481,49.717514124293785,15.022727272727273,7.468926553672317,6.779661016949152,1.252795571901041,ODUNZE,,,,,,,39.059552299594806,43.785322980810484,40.827372031580744,18.377642990760158,67.13581894930395,62.66425016413367,50.0,50.0,43.714380944053765,59
Michael Pittman,IND,WR,206,151,1498.0,14,6.581779236858676,2.9475324971468977,7.709341014091015,3.8745555555555553,3.4386820822949913,0.4358734732605635,75.35169785169785,24.30174667199086,73.30097087378641,9.920529801324504,7.271844660194175,6.796116504854369,0.4358734732605635,PITTMAN,,,,,,,37.16751936558944,28.816791844322857,38.472090697489186,75.64048446277233,25.27312128170982,65.13950220446057,50.0,50.0,43.7064256817194,60
Jake Ferguson,DAL,TE,188,154,1121.0,14,6.044438293650793,3.435522122129038,4.0601255835667605,4.193390101204125,3.938541891232358,0.25484820997176727,83.24035169623404,9.808887884698066,81.91489361702128,7.279220779220779,5.962765957446808,7.446808510638298,0.25484820997176727,FERGUSON,,,,,,,53.744791091732246,25.499850982350004,22.827585872495586,96.5558955383192,2.0366615412921467,49.96737995132379,50.0,50.0,43.591288068095054,61
DK Metcalf,PIT,WR,187,110,1607.0,10,4.407517697937801,2.658276694789746,9.78383472083472,7.517618644067796,4.799667080415348,2.7179515636524494,59.480519480519476,40.01711976348989,58.82352941176471,14.60909090909091,8.593582887700535,5.347593582887701,2.7179515636524494,METCALF,,,,,,,27.34134317544308,70.63149732086119,54.267886652464924,40.487900845957114,38.482505714125985,3.7480108324015355,50.0,50.0,43.28046656220137,62
Xavier Worthy,KC,WR,123,72,878.0,1,6.651720238095239,3.689392264317771,12.785519956784084,4.729943452380952,5.711161814957958,-0.9812183625770053,59.70666177429876,30.15223917002775,58.536585365853654,12.194444444444445,7.138211382113822,0.8130081300813009,-0.9812183625770053,WORTHY,,,,,,,62.36889725048748,2.851301005847894,36.87506947995644,39.791173831470736,57.595802658758075,67.1143255167005,50.0,50.0,43.06723090345638,63
