player_id,team,returns,tot_yds,avg_yds,td,player_name,name,composite,rank
00-0040075,BAL,10,246.0,24.6,0.0,LaJohntay Wester,LaJohntay Wester,26.331265779359867,57
00-0037091,GB,19,467.0,24.578947,0.0,Bo Melton,Bo Melton,26.228606436557172,58
00-0038551,NO,16,393.0,24.5625,0.0,Kendre Miller,Kendre Miller,26.14840789397811,59
00-0036919,PIT,26,633.0,24.346153,0.0,Kenneth Gainwell,Kenneth Gainwell,25.093466424923527,60
00-0039299,SEA,16,387.0,24.1875,0.0,George Holani,George Holani,24.31984764123731,61
00-0034278,HOU,18,435.0,24.166666,0.0,Tremon Smith,Tremon Smith,24.218257860350025,62
00-0040162,CLE,15,360.0,24.0,0.0,Dylan Sampson,Dylan Sampson,23.40556751486691,63
00-0040563,NE,16,383.0,23.9375,0.0,Efton Chism,Efton Chism,23.10080747274344,64
00-0040644,CAR,31,733.0,23.64516,0.0,Trevor Etienne,Trevor Etienne,21.67531395296,65
00-0040534,PIT,18,425.0,23.61111,0.0,Ke'Shawn Williams,Ke'Shawn Williams,21.50928074153458,66
00-0034928,ARI,10,236.0,23.6,0.0,Steven Sims,Steven Sims,21.4551051053844,67
00-0039920,CLE,21,492.0,23.428572,0.0,Malachi Corley,Malachi Corley,20.619191315529267,68
00-0037487,ATL,12,281.0,23.416666,0.0,Deven Thompkins,Deven Thompkins,20.56113735486842,69
00-0034860,NO,15,351.0,23.4,0.0,Dante Pettis,Dante Pettis,20.479869250373945,70
00-0040184,LAC,18,418.0,23.222221,0.0,KeAndre Lambert-Smith,KeAndre Lambert-Smith,19.612993968202254,71
00-0038359,LA,13,301.0,23.153847,0.0,Xavier Smith,Xavier Smith,19.279588267822554,72
00-0038951,TB,26,597.0,22.961538,0.0,Sean Tucker,Sean Tucker,18.34186148415866,73
00-0037267,CLE,13,294.0,22.615385,0.0,Jerome Ford,Jerome Ford,16.65396257410204,74
00-0040730,DEN,16,353.0,22.0625,0.0,RJ Harvey,RJ Harvey,13.958006209039432,75
00-0034681,WAS,11,242.0,22.0,0.0,Chase Edmonds,Chase Edmonds,13.653246166915965,76
00-0035537,BUF,11,240.0,21.818182,0.0,Ty Johnson,Ty Johnson,12.766672344423913,77
00-0037157,ARI,12,256.0,21.333334,0.0,Bam Knight,Bam Knight,10.402475484445114,78
00-0038966,ATL,15,288.0,19.2,0.0,Natrone Brooks,Natrone Brooks,0.0,79
