rank,team,rating
1,JAX,13.5
2,LA,12.2
3,NE,11.5
4,SEA,11.3
5,BUF,10.6
6,IND,9.5
7,PHI,9.5
8,KC,9.0
9,SF,8.2
10,CHI,7.6
11,DEN,7.3
12,LAC,6.7
13,MIN,6.3
14,GB,6.2
15,DAL,5.3
16,HOU,5.3
17,DET,4.8
18,BAL,4.6
19,NO,3.6
20,CLE,3.2
21,ATL,3.0
22,ARI,2.8
23,PIT,2.6
24,CAR,1.6
25,TB,1.5
26,CIN,0.9
27,MIA,0.7
28,WAS,0.3
29,NYG,-0.4
30,LV,-0.7
31,TEN,-1.6
32,NYJ,-2.6
