name,team,dropbacks,cpoe,avg_air_yards,avg_completed_air,air_diff,aggressiveness,time_to_throw,passer_rating,comp_pct,pass_yards,pass_tds,interceptions,weeks,ypa,td_rate,int_rate,name_last,times_pressured,times_blitzed,times_hurried,times_hit,bad_throws,bad_throw_pct,drops,times_sacked,pressure_pct,sack_rate,s_cpoe,s_passer_rat,s_air_yards,s_aggress,s_td_int,composite,rank
Drake Maye,NE,984,10.183696599838234,9.134877601043542,7.4704529306295075,-1.6644246704140335,16.90055940501959,2.9757536265638236,114.79304513033945,73.17713926125738,8788,62,16,18,8.93089430894309,6.300813008130081,1.6260162601626018,MAYE,,,,,,,,,,,100.0,100.0,80.11011358196626,60.374358664848536,84.64170993164754,92.56335617942621,1
Matthew Stafford,LAR,1194,1.6357567313153731,8.986944544942862,7.131231811788918,-1.855712733153943,18.39942129748884,2.791238884145927,108.08276377546389,65.16205814861611,9414,92,16,18,7.884422110552764,7.705192629815745,1.340033500837521,STAFFORD,,,,,,,,,,,59.3109304615934,88.57622932840799,77.05553146206356,74.91348033672529,100.0,77.27681565727521,2
Dak Prescott,DAL,1189,4.383798700382687,8.36743670055004,6.394182253361988,-1.973254447188052,19.495391864273557,2.827141529593889,100.6405018916399,67.19496891295488,9034,60,20,17,7.59798149705635,5.046257359125315,1.682085786375105,PRESCOTT,,,,,,,,,,,72.39189178019029,75.90631453013168,64.26368064452961,85.54451278830632,74.02104796778019,73.86675528490888,3
Jordan Love,GB,865,3.8215861261007293,9.021223530319057,6.621769253773268,-2.3994542765457902,16.23099657549459,2.902719260264646,102.19268233246096,66.40195576685554,6685,46,12,15,7.728323699421965,5.317919075144509,1.3872832369942196,LOVE,,,,,,,,,,,69.7157023261016,78.54878992857184,77.76333794276839,53.87952715679501,80.71400118616612,73.65891258621396,4
Jalen Hurts,PHI,908,3.8037309023218646,8.743941561340886,6.498331099502791,-2.245610461838095,16.953402267125615,2.965511268060769,99.8484257394136,65.96014227057344,6448,50,12,17,7.101321585903084,5.506607929515418,1.3215859030837005,HURTS,,,,,,,,,,,69.63070963158846,74.55786193344647,72.03790667718496,60.88694011448699,83.20138837355209,73.15714535289631,5
Marcus Mariota,WAS,426,5.447854548579986,10.098142482397872,7.659712808324769,-2.4384296740731024,19.8500590851043,2.779674060902548,96.06624466462698,63.743353650668745,3202,20,12,8,7.516431924882629,4.694835680751173,2.8169014084507045,MARIOTA,,,,,,,,,,,77.45690663359144,68.11897108047135,100.0,88.98482300140377,53.652697193883036,72.9719824724293,6
Daniel Jones,IND,761,3.364938176840876,8.155236310830732,6.467052181176324,-1.6881841296544065,17.17344603949347,2.7040112737853508,103.4583522065017,68.21415004057152,6142,38,15,13,8.07095926412615,4.993429697766097,1.971090670170828,JONES,,,,,,,,,,,67.54201130255726,80.70350172414786,59.88208038993981,63.021388388653534,69.11877456317049,70.2184984830949,7
Brock Purdy,SF,568,5.357056704491618,7.847434741768623,6.689420755732717,-1.1580139860359053,15.574310288679694,3.173519691896902,99.87924831856306,69.49647067099603,4334,40,20,10,7.630281690140845,7.042253521126761,3.5211267605633805,PURDY,,,,,,,,,,,77.0246995931964,74.61033515432783,53.52646796552513,47.509599498866635,60.94946401225114,69.26014583047342,8
Joe Burrow,CIN,505,2.619965968283874,7.570441014942316,5.562082713120628,-2.0083583018216875,15.973750386552807,2.8004346842408347,102.105134182473,67.91114785011612,3542,33,10,8,7.013861386138614,6.534653465346535,1.9801980198019802,BURROW,,,,,,,,,,,63.99586726500049,78.399745509226,47.80698844153682,51.3842114379534,80.95416432914348,68.81057002511508,9
Jared Goff,DET,1156,2.2038687684417346,6.857183745079357,5.309664422674236,-1.5475193224051216,12.51193651819741,2.7004370527672106,105.94788594267861,68.87616075906826,9128,68,16,18,7.896193771626297,5.88235294117647,1.384083044982699,GOFF,,,,,,,,,,,62.01520196324062,84.941753591279,33.07936122391728,17.80424433738745,85.14998648770381,66.96416248218726,10
Jacoby Brissett,ARI,969,3.3639594208643566,7.818928968871692,5.6812764179035815,-2.1376525509681095,15.852924784134167,2.9510332710673883,94.14439085908508,64.57362559713965,6732,46,16,13,6.947368421052632,4.747162022703819,1.6511867905056758,BRISSETT,,,,,,,,,,,67.5373523238323,64.84715340580931,52.93786913237648,50.212190090644086,72.1769968566132,65.41201148924308,11
Sam Darnold,SEA,942,4.092029290482734,8.350628444484693,6.858687582033049,-1.4919408624516437,13.05005121863042,2.84331170673113,100.0017534741433,67.78078446410899,7918,49,27,17,8.40552016985138,5.201698513800425,2.8662420382165608,DARNOLD,,,,,,,,,,,71.00303949634163,74.81889135777517,63.916616913154954,23.024014846151346,56.82469932989338,65.19588889624211,12
Mac Jones,SF,578,3.1300056793401185,6.957001806299978,5.587504554312953,-1.3694972519870252,17.1345204564554,2.704975797448166,96.77852859893318,69.68776365406431,4302,26,12,9,7.442906574394463,4.498269896193772,2.0761245674740483,JONES,,,,,,,,,,,66.42370854485527,69.33158317350396,35.140445291837516,62.64380604382064,63.63841095396812,63.826363448526166,13
Justin Herbert,LAC,1024,3.052596710920982,8.007015280380894,5.923573450272538,-2.0834418301083564,15.420983017323879,2.89938226528974,94.24452994259387,66.51258451819943,7454,52,26,17,7.279296875,5.078125,2.5390625,HERBERT,,,,,,,,,,,66.05523392437964,65.01763298256158,56.82155205814158,46.02230846487646,60.94946401225114,62.633680375035155,14
